station_name,label
Flemington Station,0
Epping Station,0
Town Hall Station,0
Newtown Station,0
St James Station,0
Croydon Station,1
Parramatta Station,0
Glenfield Station,0
Central Station,0
Sydenham Station,1
Mascot Station,1
Wynyard Station,0
Ashfield Station,0
St Peters Station,1
Green Square Station,1
Lidcombe Station,0
Burwood Station,0
Rhodes Station,0
Erskineville Station,1
Martin Place Station,0
Strathfield Station,0
Redfern Station,0
Museum Station,0
Wolli Creek Station,1
Circular Quay Station,0
Olympic Park Station,0
North Strathfield Station,0
Macdonaldtown Station,0
Revesby Station,1
Homebush Station,0
