station_name,label
Flemington Station,1
Epping Station,1
Town Hall Station,1
Newtown Station,1
St James Station,1
Croydon Station,1
Parramatta Station,1
Glenfield Station,1
Central Station,1
Sydenham Station,1
Mascot Station,1
Wynyard Station,1
Ashfield Station,1
St Peters Station,1
Green Square Station,1
Lidcombe Station,1
Burwood Station,1
Rhodes Station,1
Erskineville Station,1
Martin Place Station,1
Strathfield Station,1
Redfern Station,1
Museum Station,1
Wolli Creek Station,1
Circular Quay Station,1
Olympic Park Station,1
North Strathfield Station,1
Macdonaldtown Station,1
Revesby Station,1
Homebush Station,1
