station_name,label
Flemington Station,0
Epping Station,0
Town Hall Station,1
Newtown Station,1
St James Station,1
Croydon Station,1
Parramatta Station,0
Glenfield Station,1
Central Station,1
Sydenham Station,1
Mascot Station,1
Wynyard Station,1
Ashfield Station,1
St Peters Station,1
Green Square Station,1
Lidcombe Station,0
Burwood Station,1
Rhodes Station,0
Erskineville Station,1
Martin Place Station,1
Strathfield Station,0
Redfern Station,1
Museum Station,1
Wolli Creek Station,1
Circular Quay Station,1
Olympic Park Station,0
North Strathfield Station,1
Macdonaldtown Station,1
Revesby Station,1
Homebush Station,0
